Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,longitude,latitude
Fibre to the Basement,15/06/2020,2ALS-A0055,In Service,153.436323,-28.840464
Fibre to the Basement,7/12/2018,2APP-A0039,In Service,150.981982,-34.193569
Fibre to the Basement,9/08/2016,2ARM-A0266,In Service,151.655037,-30.512823
Fibre to the Basement,1/03/2016,2ASH-A0366,In Service,151.123706,-33.887276
Fibre to the Basement,12/12/2019,2ASH-A0371,In Service,151.124242,-33.889323
Fibre to the Basement,21/09/2017,2ASH-A0382,In Service,151.120983,-33.91374
Fibre to the Basement,9/07/2019,2ASH-A0639,In Service,151.116554,-33.91
Fibre to the Basement,21/04/2020,2ASH-A1147,In Service,151.129595,-33.891005
Fibre to the Basement,15/05/2020,2ASH-A1149,In Service,151.139572,-33.891769
Fibre to the Basement,3/06/2020,2ASH-A1150,In Service,151.121625,-33.913808
Fibre to the Basement,27/07/2017,2BAL-A0031,In Service,151.290167,-33.805366
Fibre to the Basement,24/04/2020,2BAL-A0035,In Service,151.286376,-33.796397
Fibre to the Basement,24/03/2016,2BAL-A0071,In Service,151.288464,-33.802576
Fibre to the Basement,19/06/2020,2BAL-A0104,In Service,151.286015,-33.799863
Fibre to the Basement,24/03/2016,2BAL-A0545,In Service,151.283947,-33.798592
Fibre to the Basement,19/06/2020,2BAL-A0548,In Service,151.285479,-33.799036
Fibre to the Basement,24/03/2016,2BAL-A0553,In Service,151.285863,-33.796656
Fibre to the Basement,24/03/2016,2BAL-A0555,In Service,151.287341,-33.798503
Fibre to the Basement,27/07/2017,2BAL-A0556,In Service,151.286763,-33.794325
Fibre to the Basement,24/03/2016,2BAL-A0557,In Service,151.286969,-33.796549
Fibre to the Basement,20/06/2019,2BAL-A0563,In Service,151.264309,-33.793053
Fibre to the Basement,24/03/2016,2BAL-A0570,In Service,151.268151,-33.784404
Fibre to the Basement,27/07/2017,2BAL-A0571,In Service,151.287184,-33.787563
Fibre to the Basement,30/08/2019,2BAL-A0690,In Service,151.280402,-33.794128
Fibre to the Basement,19/06/2020,2BAL-A0706,In Service,151.295813,-33.805102
Fibre to the Basement,19/06/2020,2BAL-A0713,In Service,151.285987,-33.804099
Fibre to the Basement,19/06/2020,2BAL-A0714,In Service,151.284431,-33.804322
Fibre to the Basement,19/06/2020,2BAL-A0715,In Service,151.284739,-33.803863
Fibre to the Basement,19/06/2020,2BAL-A0716,In Service,151.288398,-33.799141
Fibre to the Basement,19/06/2020,2BAL-A0717,In Service,151.2896,-33.799648
Fibre to the Basement,19/06/2020,2BAL-A0718,In Service,151.287395,-33.802298
Fibre to the Basement,19/06/2020,2BAL-A0719,In Service,151.291512,-33.801856
Fibre to the Basement,19/06/2020,2BAL-A0720,In Service,151.287044,-33.801179
Fibre to the Basement,19/06/2020,2BAL-A0721,In Service,151.288456,-33.801813
Fibre to the Basement,19/06/2020,2BAL-A0723,In Service,151.291021,-33.799783
Fibre to the Basement,19/06/2020,2BAL-A0724,In Service,151.291659,-33.799549
Fibre to the Basement,19/06/2020,2BAL-A0726,In Service,151.289745,-33.799843
Fibre to the Basement,19/06/2020,2BAL-A0727,In Service,151.288932,-33.79968
Fibre to the Basement,19/06/2020,2BAL-A0728,In Service,151.286955,-33.802694
Fibre to the Basement,24/04/2020,2BAL-A0732,In Service,151.284782,-33.795136
Fibre to the Basement,24/04/2020,2BAL-A0733,In Service,151.287398,-33.796259
Fibre to the Basement,24/04/2020,2BAL-A0735,In Service,151.286961,-33.796063
Fibre to the Basement,24/04/2020,2BAL-A0736,In Service,151.28677,-33.789052
Fibre to the Basement,24/04/2020,2BAL-A0737,In Service,151.286622,-33.79057
Fibre to the Basement,24/04/2020,2BAL-A0738,In Service,151.285023,-33.793964
Fibre to the Basement,24/04/2020,2BAL-A0739,In Service,151.285103,-33.793787
Fibre to the Basement,24/04/2020,2BAL-A0740,In Service,151.285218,-33.79346
Fibre to the Basement,24/04/2020,2BAL-A0741,In Service,151.286388,-33.79423
Fibre to the Basement,24/04/2020,2BAL-A0742,In Service,151.286605,-33.793995
Fibre to the Basement,24/04/2020,2BAL-A0743,In Service,151.286591,-33.793664
Fibre to the Basement,24/04/2020,2BAL-A0744,In Service,151.28666,-33.7919
Fibre to the Basement,24/04/2020,2BAL-A0745,In Service,151.2849,-33.794823
Fibre to the Basement,19/06/2020,2BAL-A0781,In Service,151.294836,-33.804892
Fibre to the Basement,19/06/2020,2BAL-A0782,In Service,151.288361,-33.804828
Fibre to the Basement,19/06/2020,2BAL-A0783,In Service,151.289799,-33.805191
Fibre to the Basement,19/06/2020,2BAL-A0784,In Service,151.28386,-33.806603
Fibre to the Basement,19/06/2020,2BAL-A0785,In Service,151.283351,-33.807828
Fibre to the Basement,19/06/2020,2BAL-A0786,In Service,151.283039,-33.808654
Fibre to the Basement,19/06/2020,2BAL-A0787,In Service,151.286837,-33.7998
Fibre to the Basement,19/06/2020,2BAL-A0788,In Service,151.286434,-33.800363
Fibre to the Basement,19/06/2020,2BAL-A0789,In Service,151.286384,-33.800135
Fibre to the Basement,19/06/2020,2BAL-A0790,In Service,151.286163,-33.800021
Fibre to the Basement,19/06/2020,2BAL-A0791,In Service,151.284632,-33.79993
Fibre to the Basement,19/06/2020,2BAL-A0792,In Service,151.28256,-33.79712
Fibre to the Basement,19/06/2020,2BAL-A0793,In Service,151.287317,-33.797949
Fibre to the Basement,19/06/2020,2BAL-A0794,In Service,151.286641,-33.799554
Fibre to the Basement,19/06/2020,2BAL-A0795,In Service,151.28542,-33.799469
Fibre to the Basement,19/06/2020,2BAL-A0796,In Service,151.28516,-33.799375
Fibre to the Basement,19/06/2020,2BAL-A0797,In Service,151.285986,-33.799256
Fibre to the Basement,19/06/2020,2BAL-A0798,In Service,151.28624,-33.799011
Fibre to the Basement,19/06/2020,2BAL-A0799,In Service,151.288324,-33.798084
Fibre to the Basement,19/06/2020,2BAL-A0800,In Service,151.282423,-33.798065
Fibre to the Basement,19/06/2020,2BAL-A0801,In Service,151.284166,-33.796925
Fibre to the Basement,19/06/2020,2BAL-A0802,In Service,151.286281,-33.797341
Fibre to the Basement,19/06/2020,2BAL-A0803,In Service,151.286416,-33.799756
Fibre to the Basement,19/06/2020,2BAL-A0826,In Service,151.283815,-33.799375
Fibre to the Basement,24/03/2016,2BAL-A0827,In Service,151.287682,-33.798031
Fibre to the Basement,24/03/2016,2BAL-A0836,In Service,151.267747,-33.785041
Fibre to the Basement,//,2BAM-A0061,Proposed,151.180604,-33.860946
Fibre to the Basement,31/03/2016,2BAM-A0211,In Service,151.179804,-33.861247
Fibre to the Basement,31/05/2017,2BAM-A0213,In Service,151.175243,-33.867685
Fibre to the Basement,28/04/2016,2BAM-A0214,In Service,151.177915,-33.852649
Fibre to the Basement,24/03/2016,2BAM-A0215,In Service,151.166821,-33.859256
Fibre to the Basement,25/08/2016,2BAM-A0217,In Service,151.179772,-33.862987
Fibre to the Basement,23/08/2019,2BAM-A0218,In Service,151.180931,-33.86217
Fibre to the Basement,23/08/2019,2BAM-A0219,In Service,151.18151,-33.861261
Fibre to the Basement,27/07/2017,2BAM-A0220,In Service,151.164696,-33.86046
Fibre to the Basement,24/03/2016,2BAM-A0221,In Service,151.165267,-33.860289
Fibre to the Basement,26/06/2015,2BAM-A0222,In Service,151.187605,-33.856715
Fibre to the Basement,31/08/2017,2BAM-A0223,In Service,151.16604,-33.860469
Fibre to the Basement,25/02/2016,2BAM-A0224,In Service,151.168774,-33.859654
Fibre to the Basement,25/10/2019,2BAM-A0229,In Service,151.181526,-33.859455
Fibre to the Basement,27/03/2019,2BAM-A0231,In Service,151.176169,-33.864924
Fibre to the Basement,27/03/2019,2BAM-A0232,In Service,151.173519,-33.868385
Fibre to the Basement,7/11/2019,2BAM-A0244,In Service,151.180757,-33.862999
Fibre to the Basement,23/01/2020,2BAM-A0289,In Service,151.192483,-33.854974
Fibre to the Basement,31/03/2016,2BAM-A0291,In Service,151.180486,-33.861261
Fibre to the Basement,31/08/2017,2BAM-A0298,In Service,151.165766,-33.860787
Fibre to the Basement,24/06/2020,2BAM-A0305,In Service,151.183603,-33.868269
Fibre to the Basement,22/06/2017,2BAN-A0520,In Service,151.031012,-33.91626
Fibre to the Basement,27/07/2017,2BAN-A0521,In Service,151.034662,-33.916721
Fibre to the Basement,22/06/2017,2BAN-A0522,In Service,151.037998,-33.918196
Fibre to the Basement,26/10/2017,2BAN-A0523,In Service,151.038549,-33.918218
Fibre to the Basement,29/06/2017,2BAN-A0524,In Service,151.037536,-33.918428
Fibre to the Basement,29/06/2017,2BAN-A0525,In Service,151.038244,-33.918608
Fibre to the Basement,23/11/2017,2BAN-A0526,In Service,151.038466,-33.920814
Fibre to the Basement,13/06/2019,2BAN-A0684,In Service,151.040869,-33.915893
Fibre to the Basement,6/06/2019,2BAN-A0685,In Service,151.037828,-33.916143
Fibre to the Basement,9/11/2018,2BAN-A0686,Proposed,151.035135,-33.916846
Fibre to the Basement,23/05/2019,2BAN-A0688,In Service,151.020814,-33.933128
Fibre to the Basement,22/03/2019,2BAN-A0689,In Service,151.029224,-33.933352
Fibre to the Basement,22/03/2019,2BAN-A0814,In Service,151.028759,-33.932782
Fibre to the Basement,24/11/2017,2BAN-A0856,Proposed,151.022884,-33.906301
Fibre to the Basement,//,2BAN-A0902,Proposed,151.023104,-33.906263
Fibre to the Basement,22/08/2019,2BAU-A0055,In Service,150.98272,-33.743936
Fibre to the Basement,10/01/2020,2BAU-A0065,In Service,150.988562,-33.760834
Fibre to the Basement,10/01/2020,2BAU-A0066,In Service,150.988607,-33.762211
Fibre to the Basement,10/01/2020,2BAU-A0067,In Service,150.991614,-33.762065
Fibre to the Basement,31/01/2020,2BAU-A0075,In Service,151.000179,-33.768498
Fibre to the Basement,31/01/2020,2BAU-A0076,In Service,150.999839,-33.772641
Fibre to the Basement,27/03/2020,2BAU-A0078,In Service,150.991556,-33.759141
Fibre to the Basement,27/03/2020,2BAU-A0080,In Service,150.992266,-33.75819
Fibre to the Basement,27/03/2020,2BAU-A0081,In Service,150.988883,-33.757715
Fibre to the Basement,27/03/2020,2BAU-A0082,In Service,150.988181,-33.758868
Fibre to the Basement,27/03/2020,2BAU-A0083,In Service,150.992919,-33.756627
Fibre to the Basement,27/03/2020,2BAU-A0084,In Service,150.993497,-33.757581
