"Technology_Type","Ready_for_Service_Date","Area_ID","Service_Status","longitude","latitude"
"Fibre to the Curb","15/06/2018","2ALS-A0012","In Service",153.442606,-28.846337
"Fibre to the Curb","15/06/2018","2ALS-A0016","In Service",153.420086,-28.825748
"Fibre to the Curb","15/06/2018","2ALS-A0018","In Service",153.436009,-28.839236
"Fibre to the Curb","15/06/2018","2ALS-A0025","In Service",153.452097,-28.846786
"Fibre to the Curb","15/06/2018","2ALS-A0026","In Service",153.441466,-28.842399
"Fibre to the Curb","15/06/2018","2ALS-A0029","In Service",153.447278,-28.838582
"Fibre to the Curb","15/06/2018","2ALS-A0045","In Service",153.424529,-28.821658
"Fibre to the Curb","30/11/2018","2APP-A0002","In Service",150.996303,-34.182523
"Fibre to the Curb","30/11/2018","2APP-A0007","In Service",150.986668,-34.182886
"Fibre to the Curb","30/11/2018","2APP-A0012","In Service",150.983286,-34.195657
"Fibre to the Curb","30/11/2018","2APP-A0013","In Service",150.980843,-34.240767
"Fibre to the Curb","30/11/2018","2APP-A0017","In Service",150.990314,-34.181075
"Fibre to the Curb","30/11/2018","2APP-A0023","In Service",150.985014,-34.232748
"Fibre to the Curb","30/11/2018","2APP-A0025","In Service",150.986933,-34.22878
"Fibre to the Curb","30/11/2018","2APP-A0029","In Service",150.979084,-34.189492
"Fibre to the Curb","30/11/2018","2APP-A0036","In Service",150.976954,-34.19596
"Fibre to the Curb","30/11/2018","2APP-A0037","In Service",150.979279,-34.195371
"Fibre to the Curb","19/06/2020","2BAL-A0001","In Service",151.28523,-33.797992
"Fibre to the Curb","19/06/2020","2BAL-A0013","In Service",151.283372,-33.798072
"Fibre to the Curb","19/06/2020","2BAL-A0014","In Service",151.289137,-33.799907
"Fibre to the Curb","19/06/2020","2BAL-A0015","In Service",151.287528,-33.798815
"Fibre to the Curb","19/06/2020","2BAL-A0021","In Service",151.282912,-33.796564
"Fibre to the Curb","19/06/2020","2BAL-A0025","In Service",151.286748,-33.797575
"Fibre to the Curb","19/06/2020","2BAL-A0028","In Service",151.292335,-33.801965
"Fibre to the Curb","24/04/2020","2BAL-A0033","In Service",151.285098,-33.796004
