"Technology_Type","Ready_for_Service_Date","Area_ID","Service_Status","longitude","latitude"
"Fibre to the Node","02/12/2016","2ABN-A0010","In Service",150.787163,-34.546927
"Fibre to the Node","05/10/2017","2ABN-A0011","In Service",150.789725,-34.550291
"Fibre to the Node","02/12/2016","2ABN-A0014","In Service",150.789078,-34.559579
"Fibre to the Node","13/01/2017","2ABN-A0018","In Service",150.780583,-34.571455
"Fibre to the Node","02/12/2016","2ABN-A0019","In Service",150.82152,-34.557272
"Fibre to the Node","02/12/2016","2ABN-A0020","In Service",150.829921,-34.556864
"Fibre to the Node","02/12/2016","2ABN-A0021","In Service",150.817741,-34.563497
"Fibre to the Node","02/12/2016","2ABN-A0022","In Service",150.82858,-34.563933
"Fibre to the Node","02/12/2016","2ABN-A0023","In Service",150.817924,-34.557163
"Fibre to the Node","02/12/2016","2ABN-A0024","In Service",150.797925,-34.562667
"Fibre to the Node","02/12/2016","2ABN-A0025","In Service",150.827385,-34.560945
"Fibre to the Node","02/12/2016","2ABN-A0029","In Service",150.803576,-34.563113
"Fibre to the Node","02/12/2016","2ABN-A0030","In Service",150.791434,-34.550825
"Fibre to the Node","02/12/2016","2ABN-A0031","In Service",150.821854,-34.562145
"Fibre to the Node","02/12/2016","2ABN-A0034","In Service",150.817653,-34.562588
"Fibre to the Node","02/12/2016","2ABN-A0036","In Service",150.81067,-34.566653
"Fibre to the Node","02/12/2016","2ABN-A0037","In Service",150.798223,-34.566198
"Fibre to the Node","13/01/2017","2ABN-A0038","In Service",150.754796,-34.574478
"Fibre to the Node","02/12/2016","2ABN-A0039","In Service",150.802479,-34.570063
"Fibre to the Node","02/12/2016","2ABN-A0040","In Service",150.822302,-34.568007
"Fibre to the Node","02/12/2016","2ABN-A0041","In Service",150.817847,-34.568674
"Fibre to the Node","13/01/2017","2ABN-A0043","In Service",150.763435,-34.570311
"Fibre to the Node","02/12/2016","2ABN-A0044","In Service",150.807209,-34.568221
"Fibre to the Node","13/01/2017","2ABN-A0045","In Service",150.769873,-34.569912
"Fibre to the Node","13/01/2017","2ABN-A0047","In Service",150.761248,-34.572618
"Fibre to the Node","02/12/2016","2ABN-A0048","In Service",150.810002,-34.572593
"Fibre to the Node","03/02/2017","2ABN-A0050","In Service",150.776596,-34.581346
"Fibre to the Node","02/12/2016","2ABN-A0051","In Service",150.795323,-34.571902
"Fibre to the Node","13/01/2017","2ABN-A0052","In Service",150.769203,-34.573352
"Fibre to the Node","02/12/2016","2ABN-A0054","In Service",150.80758,-34.574383
"Fibre to the Node","02/12/2016","2ABN-A0055","In Service",150.79922,-34.571619
"Fibre to the Node","13/01/2017","2ABN-A0056","In Service",150.774316,-34.574271
"Fibre to the Node","//","2ABN-A0057","Proposed",150.750898,-34.580484
