Ready_for_Service_Date,Area_ID,Service_Status,Technology_Type,longitude,latitude
30/04/2020,2ABN-51-11-JAMB-01-02,In Service,Fixed Wireless,150.787938,-34.619893
30/04/2020,2ABN-51-11-JAMB-01-05,In Service,Fixed Wireless,150.79834,-34.657162
30/04/2020,2ABN-51-11-JAMB-01-08,In Service,Fixed Wireless,150.759767,-34.625006
30/04/2020,2ABN-51-11-JAMB-11-01,In Service,Fixed Wireless,150.768759,-34.617261
30/04/2020,2ABN-51-11-JAMB-11-03,In Service,Fixed Wireless,150.783779,-34.622807
30/04/2020,2ABN-51-11-JAMB-11-04,In Service,Fixed Wireless,150.793221,-34.629431
30/04/2020,2ABN-51-11-JAMB-11-06,In Service,Fixed Wireless,150.788143,-34.632818
30/04/2020,2ABN-51-11-JAMB-11-07,In Service,Fixed Wireless,150.749638,-34.65337
30/04/2020,2ABN-51-11-JAMB-11-09,In Service,Fixed Wireless,150.772116,-34.631404
20/05/2016,2ABN-51-12-SADD-00-01,In Service,Fixed Wireless,150.800271,-34.679889
20/05/2016,2ABN-51-12-SADD-00-02,In Service,Fixed Wireless,150.822403,-34.713841
20/05/2016,2ABN-51-12-SADD-00-03,In Service,Fixed Wireless,150.772971,-34.741603
20/05/2016,2ABN-51-12-SADD-00-06,In Service,Fixed Wireless,150.77653,-34.687902
20/05/2016,2ABN-51-12-SADD-00-07,In Service,Fixed Wireless,150.81169,-34.736072
20/05/2016,2ABN-51-12-SADD-01-01,In Service,Fixed Wireless,150.785334,-34.70717
20/05/2016,2ABN-51-12-SADD-01-02,In Service,Fixed Wireless,150.832897,-34.673815
20/05/2016,2ABN-51-12-SADD-01-04,In Service,Fixed Wireless,150.834787,-34.727149
20/05/2016,2ABN-51-12-SADD-10-04,In Service,Fixed Wireless,150.791672,-34.67528
20/05/2016,2ABN-51-12-SADD-10-05,In Service,Fixed Wireless,150.825705,-34.706227
20/05/2016,2ABN-51-12-SADD-10-08,In Service,Fixed Wireless,150.772689,-34.711387
20/05/2016,2ABN-51-12-SADD-11-03,In Service,Fixed Wireless,150.861167,-34.629575
20/05/2016,2ABN-51-12-SADD-11-05,In Service,Fixed Wireless,150.808513,-34.755839
20/05/2016,2ABN-51-12-SADD-11-06,In Service,Fixed Wireless,150.755889,-34.746129
28/06/2018,2ABN-51-13-MOPI-00-01,In Service,Fixed Wireless,150.772618,-34.547559
28/06/2018,2ABN-51-13-MOPI-00-03,In Service,Fixed Wireless,150.749207,-34.519177
28/06/2018,2ABN-51-13-MOPI-01-01,In Service,Fixed Wireless,150.750279,-34.473223
28/06/2018,2ABN-51-13-MOPI-01-02,In Service,Fixed Wireless,150.805137,-34.472292
28/06/2018,2ABN-51-13-MOPI-01-03,In Service,Fixed Wireless,150.779385,-34.559289
28/06/2018,2ABN-51-13-MOPI-01-04,In Service,Fixed Wireless,150.765596,-34.533026
28/06/2018,2ABN-51-13-MOPI-01-05,In Service,Fixed Wireless,150.778817,-34.502598
28/06/2018,2ABN-51-13-MOPI-01-06,In Service,Fixed Wireless,150.801142,-34.531382
28/06/2018,2ABN-51-13-MOPI-10-02,In Service,Fixed Wireless,150.776377,-34.549043
28/06/2018,2ABN-51-13-MOPI-10-04,In Service,Fixed Wireless,150.753274,-34.504299
31/10/2014,2ALS-51-01-ASNT-00-01,In Service,Fixed Wireless,153.452694,-28.805536
31/10/2014,2ALS-51-01-ASNT-00-02,In Service,Fixed Wireless,153.478103,-28.815653
31/10/2014,2ALS-51-01-ASNT-00-03,In Service,Fixed Wireless,153.461517,-28.831005
31/10/2014,2ALS-51-01-ASNT-00-07,In Service,Fixed Wireless,153.445283,-28.809654
31/10/2014,2ALS-51-01-ASNT-00-09,In Service,Fixed Wireless,153.46817,-28.830987
31/10/2014,2ALS-51-01-ASNT-00-10,In Service,Fixed Wireless,153.447128,-28.822922
31/10/2014,2ALS-51-01-ASNT-01-01,In Service,Fixed Wireless,153.458131,-28.81838
31/10/2014,2ALS-51-01-ASNT-10-04,In Service,Fixed Wireless,153.453991,-28.812302
31/10/2014,2ALS-51-01-ASNT-10-05,In Service,Fixed Wireless,153.470167,-28.815867
31/10/2014,2ALS-51-01-ASNT-10-06,In Service,Fixed Wireless,153.455592,-28.832366
31/10/2014,2ALS-51-01-ASNT-10-08,In Service,Fixed Wireless,153.450699,-28.81771
31/10/2014,2ALS-51-01-ASNT-10-11,In Service,Fixed Wireless,153.448684,-28.82676
31/10/2014,2ALS-51-01-ASNT-11-02,In Service,Fixed Wireless,153.457361,-28.818157
31/10/2014,2ALS-51-02-ASST-00-01,In Service,Fixed Wireless,153.411948,-28.823707
31/10/2014,2ALS-51-02-ASST-00-02,In Service,Fixed Wireless,153.424429,-28.847821
31/10/2014,2ALS-51-02-ASST-00-03,In Service,Fixed Wireless,153.400559,-28.848356
31/10/2014,2ALS-51-02-ASST-00-06,In Service,Fixed Wireless,153.434605,-28.828839
31/10/2014,2ALS-51-02-ASST-10-04,In Service,Fixed Wireless,153.40615,-28.824623
31/10/2014,2ALS-51-02-ASST-10-05,In Service,Fixed Wireless,153.42877,-28.847816
31/10/2014,2ALS-51-02-ASST-10-07,In Service,Fixed Wireless,153.431057,-28.824449
31/10/2014,2ALS-51-02-ASST-10-08,In Service,Fixed Wireless,153.397754,-28.846767
31/10/2014,2ALS-51-02-ASST-11-01,In Service,Fixed Wireless,153.420796,-28.836327
19/11/2014,2ALS-51-03-DALW-00-01,In Service,Fixed Wireless,153.41121,-28.866596
19/11/2014,2ALS-51-03-DALW-00-02,In Service,Fixed Wireless,153.416158,-28.891427
19/11/2014,2ALS-51-03-DALW-00-03,In Service,Fixed Wireless,153.393292,-28.884694
19/11/2014,2ALS-51-03-DALW-00-07,In Service,Fixed Wireless,153.363997,-28.860425
19/11/2014,2ALS-51-03-DALW-10-04,In Service,Fixed Wireless,153.387655,-28.884488
19/11/2014,2ALS-51-03-DALW-10-05,In Service,Fixed Wireless,153.41401,-28.868171
19/11/2014,2ALS-51-03-DALW-10-06,In Service,Fixed Wireless,153.397187,-28.892357
19/11/2014,2ALS-51-03-DALW-10-08,In Service,Fixed Wireless,153.376036,-28.857638
30/05/2015,2ALS-51-04-FERL-00-01,In Service,Fixed Wireless,153.489779,-28.734764
30/05/2015,2ALS-51-04-FERL-00-02,In Service,Fixed Wireless,153.49913,-28.765421
30/05/2015,2ALS-51-04-FERL-00-03,In Service,Fixed Wireless,153.494701,-28.749281
30/05/2015,2ALS-51-04-FERL-00-05,In Service,Fixed Wireless,153.523623,-28.748171
30/05/2015,2ALS-51-04-FERL-01-01,In Service,Fixed Wireless,153.496995,-28.747387
30/05/2015,2ALS-51-04-FERL-01-03,In Service,Fixed Wireless,153.49217,-28.755076
30/05/2015,2ALS-51-04-FERL-10-04,In Service,Fixed Wireless,153.51023,-28.680534
30/05/2015,2ALS-51-04-FERL-10-06,In Service,Fixed Wireless,153.523598,-28.741925
30/05/2015,2ALS-51-04-FERL-10-07,In Service,Fixed Wireless,153.503199,-28.764969
30/05/2015,2ALS-51-04-FERL-10-08,In Service,Fixed Wireless,153.478575,-28.748172
30/05/2015,2ALS-51-04-FERL-11-02,In Service,Fixed Wireless,153.496461,-28.742426
30/05/2015,2ALS-51-04-FERL-11-04,In Service,Fixed Wireless,153.485537,-28.761187
11/06/2015,2ALS-51-05-KNOR-00-01,In Service,Fixed Wireless,153.568898,-28.73494
11/06/2015,2ALS-51-05-KNOR-00-02,In Service,Fixed Wireless,153.55945,-28.782128
11/06/2015,2ALS-51-05-KNOR-00-03,In Service,Fixed Wireless,153.522978,-28.774139
11/06/2015,2ALS-51-05-KNOR-00-07,In Service,Fixed Wireless,153.520108,-28.760388
11/06/2015,2ALS-51-05-KNOR-01-01,In Service,Fixed Wireless,153.53653,-28.767774
11/06/2015,2ALS-51-05-KNOR-01-02,In Service,Fixed Wireless,153.534247,-28.771166
11/06/2015,2ALS-51-05-KNOR-10-04,In Service,Fixed Wireless,153.572029,-28.746186
11/06/2015,2ALS-51-05-KNOR-10-05,In Service,Fixed Wireless,153.558242,-28.787553
11/06/2015,2ALS-51-05-KNOR-10-06,In Service,Fixed Wireless,153.504364,-28.787744
11/06/2015,2ALS-51-05-KNOR-10-08,In Service,Fixed Wireless,153.519363,-28.764717
11/06/2015,2ALS-51-05-KNOR-11-03,In Service,Fixed Wireless,153.533491,-28.773647
18/06/2015,2ALS-51-06-TEVE-00-01,In Service,Fixed Wireless,153.493933,-28.798603
18/06/2015,2ALS-51-06-TEVE-00-02,In Service,Fixed Wireless,153.581289,-28.822174
18/06/2015,2ALS-51-06-TEVE-00-03,In Service,Fixed Wireless,153.491286,-28.842616
18/06/2015,2ALS-51-06-TEVE-00-05,In Service,Fixed Wireless,153.516624,-28.790658
18/06/2015,2ALS-51-06-TEVE-00-08,In Service,Fixed Wireless,153.525554,-28.84163
18/06/2015,2ALS-51-06-TEVE-00-11,In Service,Fixed Wireless,153.485521,-28.814266
18/06/2015,2ALS-51-06-TEVE-01-01,In Service,Fixed Wireless,153.508837,-28.813007
18/06/2015,2ALS-51-06-TEVE-01-02,In Service,Fixed Wireless,153.510912,-28.8209
18/06/2015,2ALS-51-06-TEVE-01-04,In Service,Fixed Wireless,153.515493,-28.811403
18/06/2015,2ALS-51-06-TEVE-01-07,In Service,Fixed Wireless,153.488402,-28.827073
18/06/2015,2ALS-51-06-TEVE-10-04,In Service,Fixed Wireless,153.483439,-28.80338
18/06/2015,2ALS-51-06-TEVE-10-06,In Service,Fixed Wireless,153.506694,-28.801501
18/06/2015,2ALS-51-06-TEVE-10-07,In Service,Fixed Wireless,153.543687,-28.807495
18/06/2015,2ALS-51-06-TEVE-10-10,In Service,Fixed Wireless,153.497717,-28.844829
18/06/2015,2ALS-51-06-TEVE-10-12,In Service,Fixed Wireless,153.491199,-28.822341
18/06/2015,2ALS-51-06-TEVE-11-03,In Service,Fixed Wireless,153.50856,-28.808947
18/06/2015,2ALS-51-06-TEVE-11-05,In Service,Fixed Wireless,153.521584,-28.800097
18/06/2015,2ALS-51-06-TEVE-11-06,In Service,Fixed Wireless,153.505679,-28.849122
21/11/2014,2ALS-51-08-TKMK-00-01,In Service,Fixed Wireless,153.442848,-28.779246
21/11/2014,2ALS-51-08-TKMK-00-02,In Service,Fixed Wireless,153.477671,-28.775225
21/11/2014,2ALS-51-08-TKMK-00-03,In Service,Fixed Wireless,153.453434,-28.798973
21/11/2014,2ALS-51-08-TKMK-00-05,In Service,Fixed Wireless,153.44633,-28.747997
21/11/2014,2ALS-51-08-TKMK-00-09,In Service,Fixed Wireless,153.475183,-28.79306
