Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,State,longitude,latitude,discharge_amnt_total
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0022,In Service,New South Wales,150.796835,-33.796236,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2ESP-A0026,In Service,New South Wales,150.77356,-33.806606,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0027,In Service,New South Wales,150.781109,-33.795047,1
Hybrid Fibre Coaxial (HFC),15/03/2019,2ESP-A0038,In Service,New South Wales,150.785257,-33.776434,1
Hybrid Fibre Coaxial (HFC),15/03/2019,2ESP-A0039,In Service,New South Wales,150.784067,-33.78204,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0044,In Service,New South Wales,150.779219,-33.790059,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0045,In Service,New South Wales,150.79113,-33.790836,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2ESP-A0047,In Service,New South Wales,150.772921,-33.799374,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0049,In Service,New South Wales,150.789634,-33.797033,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0051,In Service,New South Wales,150.804242,-33.796022,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2ESP-A0052,In Service,New South Wales,150.77892,-33.800206,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0053,In Service,New South Wales,150.78376,-33.801686,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0054,In Service,New South Wales,150.791122,-33.802596,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0055,In Service,New South Wales,150.805642,-33.804031,1
Hybrid Fibre Coaxial (HFC),21/12/2018,2ESP-A0057,In Service,New South Wales,150.783956,-33.793461,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0058,In Service,New South Wales,150.785436,-33.807963,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0059,In Service,New South Wales,150.805765,-33.808851,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0060,In Service,New South Wales,150.794068,-33.808816,1
Hybrid Fibre Coaxial (HFC),5/10/2018,2ESP-A0066,In Service,New South Wales,150.798323,-33.803605,1
Hybrid Fibre Coaxial (HFC),22/06/2018,2ESP-A0068,In Service,New South Wales,150.772711,-33.789471,1
Hybrid Fibre Coaxial (HFC),15/03/2019,2ESP-A0073,In Service,New South Wales,150.803933,-33.784101,1
Hybrid Fibre Coaxial (HFC),15/03/2019,2ESP-A0076,In Service,New South Wales,150.798542,-33.782426,1
Hybrid Fibre Coaxial (HFC),//,2ESP-A0092,Proposed,New South Wales,150.809554,-33.791682,1
Hybrid Fibre Coaxial (HFC),28/10/2019,2ESP-A0157,In Service,New South Wales,150.780908,-33.801636,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2ESP-A0158,In Service,New South Wales,150.795198,-33.785598,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ESP-A0184,In Service,New South Wales,150.798972,-33.80842,1
Hybrid Fibre Coaxial (HFC),30/10/2019,2ESP-A0196,In Service,New South Wales,150.783697,-33.802147,1
Hybrid Fibre Coaxial (HFC),27/11/2019,2ESP-A0205,In Service,New South Wales,150.78707,-33.775886,1
Hybrid Fibre Coaxial (HFC),8/11/2019,2ESP-A0206,In Service,New South Wales,150.778214,-33.786792,1
Hybrid Fibre Coaxial (HFC),9/12/2019,2ESP-A0208,In Service,New South Wales,150.79584,-33.784073,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2ESP-A0209,In Service,New South Wales,150.778198,-33.79135,1
Hybrid Fibre Coaxial (HFC),28/10/2019,2ESP-A0210,In Service,New South Wales,150.777598,-33.787154,1
Hybrid Fibre Coaxial (HFC),8/11/2019,2ESP-A0211,In Service,New South Wales,150.809637,-33.809105,1
Hybrid Fibre Coaxial (HFC),16/12/2019,2ESP-A0213,In Service,New South Wales,150.781154,-33.779283,1
Hybrid Fibre Coaxial (HFC),31/10/2019,2ESP-A0215,In Service,New South Wales,150.785915,-33.806884,1
Hybrid Fibre Coaxial (HFC),29/10/2019,2ESP-A0216,In Service,New South Wales,150.809549,-33.796309,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ESP-A0217,In Service,New South Wales,150.801384,-33.807092,1
Hybrid Fibre Coaxial (HFC),16/03/2018,2ESP-A0220,In Service,New South Wales,150.779441,-33.808722,1
Hybrid Fibre Coaxial (HFC),26/07/2019,2ESP-A0222,In Service,New South Wales,150.782843,-33.810708,1
Hybrid Fibre Coaxial (HFC),27/06/2019,2ESP-A0223,In Service,New South Wales,150.785225,-33.773251,1
Hybrid Fibre Coaxial (HFC),6/04/2018,2ESP-A0224,In Service,New South Wales,150.774716,-33.790796,1
Hybrid Fibre Coaxial (HFC),2/08/2019,2ESP-A0225,In Service,New South Wales,150.79567,-33.798264,1
Hybrid Fibre Coaxial (HFC),5/11/2018,2ESP-A0226,In Service,New South Wales,150.776635,-33.788562,1
Hybrid Fibre Coaxial (HFC),13/02/2018,2ESP-A0227,In Service,New South Wales,150.776423,-33.792048,1
Hybrid Fibre Coaxial (HFC),29/07/2019,2ESP-A0228,In Service,New South Wales,150.791511,-33.793519,1
Hybrid Fibre Coaxial (HFC),11/05/2018,2ESP-A0229,In Service,New South Wales,150.786304,-33.792792,1
Hybrid Fibre Coaxial (HFC),26/06/2019,2ESP-A0230,In Service,New South Wales,150.783976,-33.794506,1
Hybrid Fibre Coaxial (HFC),11/04/2019,2ESP-A0231,In Service,New South Wales,150.797916,-33.795803,1
Hybrid Fibre Coaxial (HFC),8/04/2019,2ESP-A0232,In Service,New South Wales,150.795008,-33.798861,1
Hybrid Fibre Coaxial (HFC),8/07/2019,2ESP-A0233,In Service,New South Wales,150.784163,-33.805192,1
Hybrid Fibre Coaxial (HFC),24/06/2019,2ESP-A0234,In Service,New South Wales,150.806868,-33.797671,1
Hybrid Fibre Coaxial (HFC),19/09/2019,2ESP-A0235,In Service,New South Wales,150.807985,-33.800553,1
Hybrid Fibre Coaxial (HFC),12/07/2019,2ESP-A0236,In Service,New South Wales,150.792884,-33.799485,1
Hybrid Fibre Coaxial (HFC),24/07/2019,2ESP-A0237,In Service,New South Wales,150.770665,-33.795743,1
Hybrid Fibre Coaxial (HFC),29/11/2018,2ESP-A0238,In Service,New South Wales,150.776233,-33.799491,1
Hybrid Fibre Coaxial (HFC),24/06/2019,2ESP-A0239,In Service,New South Wales,150.769179,-33.800888,1
Hybrid Fibre Coaxial (HFC),26/07/2019,2ESP-A0240,In Service,New South Wales,150.790306,-33.803178,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ESP-A0242,In Service,New South Wales,150.791501,-33.793398,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ESP-A0243,In Service,New South Wales,150.779002,-33.808562,1
Hybrid Fibre Coaxial (HFC),13/11/2019,2ESP-A0246,In Service,New South Wales,150.790546,-33.781041,1
